id,type
3128,House
1394,House
4100,House
1695,House
5149,Villa
4897,House
2313,House
1551,House
6282,House
4859,House
6651,House
6639,House
5493,House
3154,House
3799,House
6634,Apartment / Unit / Flat
3242,Townhouse
2657,House
2551,House
6768,House
4143,House
3464,House
3400,House
1541,House
1263,House
3859,House
2745,House
2291,House
3834,House
4396,House
3625,House
3243,House
1332,House
6009,Apartment / Unit / Flat
698,Duplex
4050,House
3251,House
6987,House
3346,House
3119,Apartment / Unit / Flat
1102,House
3815,House
2785,House
5792,House
1739,House
5393,House
6567,Apartment / Unit / Flat
3364,House
3332,Villa
3361,Vacant land
419,House
417,House
6318,House
3233,House
3511,House
5642,House
1247,House
6162,House
6163,House
2698,House
4311,House
2979,House
4583,House
576,House
2506,House
4208,House
5677,House
6590,House
2675,House
3878,House
3778,House
1576,House
4981,House
1493,House
3705,House
2904,House
4743,House
6135,House
4532,House
2062,Apartment / Unit / Flat
6131,House
5449,House
4015,House
5788,House
4438,House
2168,House
3543,House
3656,House
4610,House
5109,House
3804,House
1867,Apartment / Unit / Flat
5979,House
4530,Semi-Detached
6148,House
5467,House
5946,House
1501,House
575,House
4853,Apartment / Unit / Flat
3482,Vacant land
3042,Block of Units
3740,Apartment / Unit / Flat
3181,Apartment / Unit / Flat
2535,House
1865,Apartment / Unit / Flat
5564,House
856,Apartment / Unit / Flat
7043,House
5396,House
5291,House
369,House
6453,House
5249,House
7061,House
6267,Semi-Detached
3908,House
4719,House
5054,House
5349,House
3053,House
958,House
4978,House
971,House
7058,House
1445,House
616,House
4117,Vacant land
4552,Apartment / Unit / Flat
3275,House
921,House
7064,House
1626,House
2059,House
192,House
6149,House
5941,House
5490,Apartment / Unit / Flat
5961,House
1341,House
2166,House
4504,House
6925,Semi-Detached
939,House
175,Apartment / Unit / Flat
2617,House
327,House
4071,House
4757,House
14,House
6750,House
5753,House
2228,House
2463,House
598,Apartment / Unit / Flat
6563,House
4500,House
209,House
124,House
5181,House
7026,House
5975,House
969,House
4826,House
387,House
5430,House
4097,House
3832,Semi-Detached
4210,House
4053,House
6609,House
4029,House
441,House
2545,House
1639,House
7009,House
5810,House
4129,House
1295,Apartment / Unit / Flat
2586,House
5918,House
5318,House
347,House
2152,House
2683,Apartment / Unit / Flat
4086,House
1906,Apartment / Unit / Flat
5165,House
5319,House
1801,House
4394,House
2216,House
1882,Villa
2794,House
1216,House
7000,House
6306,House
2200,House
370,House
4174,House
2316,House
1558,House
5834,House
2148,House
4851,House
3110,Apartment / Unit / Flat
4977,House
5313,House
4575,House
4505,House
6217,Semi-Detached
5439,House
1727,Apartment / Unit / Flat
6256,House
581,House
4285,House
146,House
2862,House
1022,House
2633,House
5252,House
3195,Apartment / Unit / Flat
2413,House
429,House
5960,House
1233,House
1664,House
2764,House
5019,House
3388,House
4249,House
842,Semi-Detached
1782,House
6069,House
4772,House
4288,House
5137,House
732,House
4475,Apartment / Unit / Flat
6409,House
67,House
5082,Apartment / Unit / Flat
6996,House
5368,House
5648,Townhouse
6744,House
542,House
2197,House
886,House
1794,House
5746,House
3171,House
6030,House
6402,House
3013,Townhouse
3785,House
2376,Apartment / Unit / Flat
3028,House
1944,House
6426,House
6683,House
2106,House
4793,Apartment / Unit / Flat
6047,Apartment / Unit / Flat
2674,House
3847,House
3266,House
4163,House
5177,House
2665,House
2541,House
4811,House
4428,House
1504,Apartment / Unit / Flat
6578,Apartment / Unit / Flat
2986,House
4832,House
2559,House
1936,House
5885,House
5348,House
3167,House
2407,Villa
4987,House
3919,House
6682,House
2957,House
6171,House
3301,House
4729,House
6466,House
1735,House
1755,House
3554,House
2137,House
6211,House
3073,House
784,Vacant land
2385,House
1537,Apartment / Unit / Flat
6258,House
5275,House
1860,House
4574,House
3923,House
5076,House
4431,House
3253,House
1145,House
1892,House
511,House
2065,House
1975,House
6229,House
6535,House
6771,Apartment / Unit / Flat
2307,Apartment / Unit / Flat
5505,House
6598,House
2603,House
4615,House
1036,Terrace
3515,House
941,Apartment / Unit / Flat
1314,House
2898,House
505,House
6164,House
168,House
1701,House
4113,House
5593,Townhouse
7048,House
2937,Apartment / Unit / Flat
791,Apartment / Unit / Flat
7044,House
6737,House
6851,House
3227,House
2425,House
2149,House
4393,House
3573,House
2503,House
2901,House
1560,House
2602,House
578,House
5955,House
3929,House
6720,House
2060,Apartment / Unit / Flat
1967,House
2043,Vacant land
5120,House
993,Apartment / Unit / Flat
202,House
5444,Villa
3189,House
6614,House
5243,House
6396,House
4151,House
11,House
8,House
3899,House
6937,House
2491,House
6714,House
1874,House
2879,House
2914,House
3471,House
2013,Vacant land
2721,Villa
6372,Semi-Detached
3523,House
5495,House
3912,House
2581,House
2361,House
3365,House
5209,House
5990,House
1242,House
4816,House
2136,House
4104,Villa
934,House
5283,House
2097,House
169,House
2477,House
7092,House
6775,Townhouse
5053,House
532,House
187,House
4880,House
2400,House
2057,Townhouse
2799,House
5189,House
4450,House
5212,House
2858,House
2083,House
2268,House
5357,Apartment / Unit / Flat
4602,House
3567,House
3337,House
6021,Terrace
271,House
5075,House
6752,House
4557,House
3428,Townhouse
4798,House
5247,House
3540,Apartment / Unit / Flat
1761,House
1034,House
1074,House
5246,House
2259,House
1268,Apartment / Unit / Flat
443,Townhouse
707,Block of Units
6908,House
3708,House
6424,House
3793,House
2245,House
246,House
6486,House
3982,House
2741,House
2354,House
1926,House
6347,House
5516,House
1607,House
6727,House
421,House
1962,Townhouse
4083,House
5868,House
3596,House
4463,Apartment / Unit / Flat
2171,Semi-Detached
3232,House
7075,House
7107,House
3807,House
6872,Duplex
2032,House
1503,House
3622,House
5555,House
2387,House
3695,Townhouse
6842,House
2667,House
7001,House
40,House
2513,Apartment / Unit / Flat
6338,House
6862,House
389,House
404,House
564,House
4048,House
6196,House
6541,Apartment / Unit / Flat
1982,House
6093,House
560,House
912,House
5811,House
6691,House
6868,House
5200,House
3637,House
6616,Block of Units
5789,House
4872,House
4420,House
1687,House
5916,House
1490,House
6840,House
1344,House
1020,House
384,House
1797,Townhouse
2744,House
2000,House
4533,House
621,House
4789,House
5518,House
561,House
697,House
2981,House
2454,Apartment / Unit / Flat
641,Townhouse
6035,House
1628,House
3685,House
3844,House
3691,Apartment / Unit / Flat
2531,House
1021,House
282,Vacant land
1837,House
6885,House
6261,House
5031,House
2130,House
4961,House
3385,Block of Units
5972,House
4656,House
231,House
2128,House
6104,House
1066,House
3525,House
4102,Apartment / Unit / Flat
3670,House
3069,House
1119,Apartment / Unit / Flat
1438,Apartment / Unit / Flat
3659,House
2998,House
6155,Terrace
5315,House
6383,House
3886,House
5645,House
3564,House
4381,House
5999,House
2791,House
937,House
2113,House
2101,House
2155,House
5624,Villa
5821,House
5508,House
5040,House
3987,House
6713,Semi-Detached
6546,House
1475,House
6605,House
6354,House
4746,Apartment / Unit / Flat
3868,House
5435,House
3477,House
1706,House
