id,price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,region,suburbpopulation,postcode,ethnic_breakdown,suburb_median_house_price,median_house_rent_per_week,suburb_median_apartment_price,median_apartment_rent_per_week,public_housing_pct,avg_years_held,time_to_cbd_public_transport_town_hall_st,time_to_cbd_driving_town_hall_st,nearest_train_station,highlights_attractions,ideal_for,traffic,public_transport,affordability_rental,affordability_buying,nature,noise,things_to_see_do,family_friendliness,pet_friendliness,safety,overall_rating
3415,2525000.0,2020-11-17,Rosebery,2,4,2,544,House,10117.0,42172,1.928,-33.91857,151.20485,18,0.11,172.6,5.94,Inner South,"10,500",2018,"Chinese 15.8%,English 12.8%,Australian 11.7%,Greek 8.3%,Irish 6.7%",1650000.0,825.0,860000.0,665.0,3%,14.1,30.0,20.0,Mascot,"The Cannery,heritage homes,Messina HQ","Professionals,young professionals,small families",3.0,5.0,4.0,3.0,6.0,5.0,8.0,8.0,8.0,7.0,5.7
2624,860000.0,2020-01-22,Riverstone,1,3,1,918,House,7247.0,36764,22.465,-33.66886,150.85969,28,0.75,169.6,39.07,Hills Shire,"7,250",2765,"Australian 28.4%,English 24.8%,Irish 6.1%,Scottish 5.1%,Italian 3.5%",725000.0,510.0,655000.0,370.0,6%,10.1,60.0,50.0,Riverstone,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4884,6380000.0,2021-09-17,Palm Beach,0,0,0,763,House,1593.0,54704,2.716,-33.59895,151.32589,0,0.1,220.1,31.42,Northern Beaches,"1,750",2108,"English 34.2%,Australian 21.2%,Scottish 11.1%,Irish 10.1%,German 3.1%",3400000.0,1080.0,0.0,750.0,0%,12.8,110.0,60.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039,825000.0,2017-09-28,St Andrews,2,5,2,640,House,5730.0,34060,2.082,-34.02451,150.83058,47,1.5,174.0,39.27,South West,"5,750",2566,"Australian 22.1%,English 19.7%,Irish 5.7%,Scottish 5.3%,Filipino 3.9%",615000.0,420.0,0.0,0.0,4%,15.4,80.0,50.0,Minto,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5927,1063000.0,2021-11-12,Auburn,2,5,2,490,House,37366.0,22568,8.564,-33.85787,151.02827,33,0.1,220.1,16.83,Western Suburbs,"37,500",2144,"Chinese 18.2%,Turkish 8.0%,Lebanese 7.3%,Nepalese 6.1%,Indian 5.7%",825000.0,500.0,575000.0,440.0,4%,13.9,30.0,25.0,Auburn,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4392,2600000.0,2021-06-23,Greenacre,6,18,9,840,Block of Units,24373.0,22672,7.405,-33.8989,151.05729,37,0.1,210.1,14.61,Western Suburbs,"24,500",2190,"Lebanese 30.7%,Australian 10.4%,English 7.1%,Italian 4.0%,Chinese 3.4%",910000.0,580.0,590000.0,445.0,12%,13.3,50.0,30.0,Lakemba,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2458,880000.0,2019-11-21,Oran Park,2,4,2,613,House,4765.0,50336,13.744,-33.99074,150.74247,81,0.75,166.4,45.41,South West,"5,000",2570,"Australian 23.3%,English 17.5%,Italian 7.0%,Irish 4.2%,Scottish 4.1%",710000.0,510.0,620000.0,350.0,0%,1.7,95.0,55.0,Minto,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3805,2650000.0,2021-03-13,Neutral Bay,2,4,2,206,Townhouse,10488.0,70512,1.28,-33.83489,151.21821,72,0.1,197.9,3.44,Lower North Shore,"11,000",2089,"English 25.2%,Australian 15.5%,Irish 9.5%,Scottish 8.1%,Chinese 5.4%",2550000.0,1000.0,940000.0,590.0,0%,12.7,25.0,15.0,0,"Anderson Park & waterfront area,quality cafes & dining,harbour views","Professionals,small families",1.0,5.0,3.0,2.0,8.0,7.0,8.0,7.0,7.0,9.0,5.7
664,805000.0,2017-02-20,Little Bay,1,1,1,82,House,4477.0,48360,2.457,-33.98343,151.24666,34,1.5,172.7,13.55,Southern Suburbs,"4,500",2036,"English 20.2%,Australian 17.7%,Irish 9.4%,Chinese 8.9%,Scottish 5.2%",1750000.0,1050.0,950000.0,650.0,9%,11.6,50.0,25.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
936,1600000.0,2017-07-29,Middle Cove,2,3,3,834,House,1340.0,53404,1.036,-33.79242,151.21235,59,1.5,174.2,8.07,Lower North Shore,"1,500",2068,"English 24.8%,Australian 22.8%,Irish 9.8%,Chinese 8.5%,Scottish 6.6%",1900000.0,1050.0,0.0,0.0,0%,0.0,40.0,15.0,Chatswood,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5459,1780000.0,2021-10-21,Dundas,2,3,2,660,House,4740.0,32188,1.347,-33.80329,151.04263,30,0.1,220.1,16.94,North Shore,"4,750",2117,"Chinese 18.4%,English 15.3%,Australian 14.6%,Korean 6.4%,Irish 4.8%",1100000.0,575.0,660000.0,470.0,5%,8.1,50.0,35.0,Parramatta,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758,1150000.0,2018-11-26,Erskine Park,3,6,2,690,House,6436.0,40612,8.394,-33.80912,150.79558,62,1.5,160.5,38.85,Western Suburbs,"6,500",2759,"Australian 25.0%,English 21.9%,Irish 5.9%,Scottish 4.7%,Filipino 4.3%",720000.0,430.0,0.0,0.0,1%,13.7,90.0,45.0,Mount Druitt,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6303,1300000.0,2021-11-23,Epping,2,3,2,311,Townhouse,23688.0,37024,6.838,-33.77377,151.07681,101,0.1,220.1,15.95,Northern Suburbs,"25,000",2121,"Chinese 31.0%,English 13.5%,Australian 11.9%,Korean 7.9%,Indian 6.4%",1650000.0,700.0,790000.0,550.0,1%,14.7,50.0,30.0,Epping (metro),"Forest Park,The Epping Club","Professionals,families,small families",3.0,8.0,4.0,4.0,7.0,6.0,6.0,8.0,9.0,8.0,6.3
6912,1925000.0,2021-12-18,Carlingford,2,4,2,929,House,24394.0,33696,8.528,-33.77523,151.0454,102,0.1,220.1,18.2,Western Suburbs,"25,000",2118,"Chinese 32.0%,English 13.2%,Australian 12.2%,Korean 5.6%,Irish 4.3%",1300000.0,610.0,700000.0,500.0,2%,16.6,55.0,30.0,Carlingford (soon to close),"Balaka Falls,bushwalks & cycling tracks","Families,small families,retirees,professionals",4.0,3.0,6.0,4.0,8.0,6.0,8.0,8.0,7.0,7.0,6.1
7104,1065000.0,2021-12-29,Panania,2,3,1,274,Semi-Detached,12419.0,34216,4.751,-33.95493,150.99524,18,0.1,220.1,22.21,Western Suburbs,"12,500",2213,"Australian 21.6%,English 18.6%,Irish 7.3%,Chinese 6.6%,Lebanese 5.1%",950000.0,630.0,750000.0,450.0,11%,12.0,30.0,40.0,Panania,Kelso Beach Reserve,"Small families,families,retirees,professionals",6.0,7.0,7.0,7.0,7.0,7.0,3.0,8.0,8.0,6.0,6.6
4338,1500000.0,2021-06-18,Asquith,3,7,4,837,House,3376.0,40924,3.502,-33.68827,151.11987,153,0.1,210.1,21.32,Northern Suburbs,"3,500",2077,"English 25.1%,Australian 21.9%,Chinese 8.3%,Irish 7.1%,Scottish 6.3%",1100000.0,590.0,625000.0,510.0,1%,15.5,50.0,40.0,Asquith,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6209,1800000.0,2021-11-20,Rydalmere,2,4,3,500,House,6642.0,33540,3.8,-33.81378,151.03784,13,0.1,220.1,16.91,Western Suburbs,"6,750",2116,"Australian 16.3%,English 15.8%,Chinese 14.4%,Korean 6.2%,Irish 6.1%",1100000.0,510.0,675000.0,465.0,13%,10.8,50.0,30.0,Parramatta,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6596,1650000.0,2021-12-04,Crows Nest,2,3,2,167,Apartment / Unit / Flat,4798.0,70304,0.762,-33.82557,151.20362,97,0.1,197.9,4.43,Lower North Shore,"5,000",2065,"English 23.0%,Australian 17.5%,Irish 9.8%,Scottish 6.8%,Chinese 5.9%",2000000.0,975.0,915000.0,560.0,1%,12.5,30.0,15.0,St Leonards,"Bars & dining,St. Thomas Rest Park","Young professionals,small families",4.0,5.0,4.0,3.0,5.0,4.0,8.0,6.0,7.0,8.0,5.4
3975,1290000.0,2021-03-31,Windsor,2,3,2,1214,House,1891.0,31824,4.134,-33.61162,150.82113,9,0.1,197.9,45.7,Northern Suburbs,"2,000",2756,"English 30.9%,Australian 28.9%,Irish 10.3%,Scottish 7.5%,German 2.8%",640000.0,420.0,405000.0,330.0,7%,8.4,85.0,55.0,Windsor,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4682,1745000.0,2021-08-14,Sydenham,2,4,1,278,House,1145.0,38844,0.27,-33.91673,151.16817,8,0.1,210.1,6.9,Inner West,"1,250",2044,"Australian 12.5%,English 12.5%,Indian 8.4%,Italian 7.4%,Maltese 5.0%",1300000.0,740.0,670000.0,470.0,0%,14.8,15.0,20.0,Sydenham,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1108,1476000.0,2017-10-28,Allambie Heights,1,3,1,514,House,7009.0,40404,6.675,-33.7702,151.24964,92,1.5,174.0,11.16,Northern Beaches,"7,100",2100,"English 29.8%,Australian 24.7%,Irish 10.0%,Scottish 8.0%,Italian 3,5%",1600000.0,850.0,0.0,595.0,1%,13.0,55.0,30.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1746,3560000.0,2018-11-23,Roseville,3,5,2,800,House,10082.0,51896,3.923,-33.78256,151.18105,89,1.5,160.5,9.54,North Shore,"10,500",2069,"English 23.2%,Australian 19.6%,Chinese 13.8%,Irish 8.7%,Scottish 6.9%",2500000.0,1100.0,925000.0,605.0,0%,15.3,22.0,25.0,Roseville,Roseville Cinemas,"Families,small families,retirees",5.0,6.0,3.0,2.0,8.0,8.0,3.0,9.0,8.0,10.0,6.2
1759,945000.0,2018-11-26,Northmead,1,3,2,618,House,11215.0,40924,4.286,-33.78379,150.99349,49,1.5,160.5,21.97,Western Suburbs,"11,250",2152,"English 20.0%,Australian 19.0%,Irish 7.3%,Chinese 6.0%,Scottish 5.2%",970000.0,505.0,590000.0,435.0,6%,12.8,55.0,35.0,Parramatta,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5977,1880000.0,2021-11-13,Cammeray,2,3,1,147,Townhouse,7006.0,72020,1.553,-33.82277,151.21527,66,0.1,220.1,4.73,Lower North Shore,"7,000",2062,"English 26.4%,Australian 20.0%,Irish 10.9%,Scottish 8.0%,Chinese 3.9%",2200000.0,1100.0,950000.0,610.0,1%,14.0,30.0,10.0,St Leonards,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,627500.0,2016-08-20,Prestons,2,3,2,334,House,15313.0,36244,9.215,-33.94155,150.87334,28,1.52,159.3,32.26,Western Suburbs,"15,500",2170,"Australian 12.0%,Indian 9.6%,English 9.4%,Italian 4.4%,Lebanese 4.3%",735000.0,550.0,0.0,450.0,1%,10.9,95.0,45.0,Casula,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1930000.0,2016-03-19,Russell Lea,2,3,2,369,House,5001.0,47684,1.02,-33.85841,151.14202,20,2.0,155.2,6.33,Inner West,"5,250",2560,"Australian 19.0%,English 17.8%,Italian 17.2%,Irish 9.0%,Scottish 5.4%",1850000.0,880.0,810000.0,530.0,5%,15.7,30.0,15.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5354,1690000.0,2021-10-15,Curl Curl,1,2,1,81,Apartment / Unit / Flat,2414.0,53612,1.276,-33.76971,151.28907,19,0.1,220.1,12.88,Northern Beaches,"2,500",2096,"English 28.8%,Australian 24.9%,Irish 10.7%,Scottish 8.0%,German 2.8%",2300000.0,980.0,1300000.0,720.0,2%,13.2,65.0,35.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2264,4800000.0,2019-09-27,Hunters Hill,5,6,3,815,House,9528.0,48828,3.632,-33.83054,151.14729,2,1.0,166.4,6.95,Lower North Shore,"9,500",2110,"English 22.7%,Australian 20.3%,Irish 11.2%,Scottish 6.8%,Chinese 5.3%",2950000.0,1050.0,875000.0,520.0,5%,11.0,25.0,15.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,1500000.0,2017-02-24,Monterey,2,4,2,507,House,4532.0,37232,1.152,-33.97235,151.14822,5,1.5,172.7,13.19,Southern Suburbs,"4,750",2217,"Greek 18.8%,English 11.8%,Australian 11.7%,Irish 4.6%,Italian 4.0%",1450000.0,690.0,700000.0,460.0,1%,13.9,40.0,25.0,Kogarah,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,1380000.0,2016-10-14,Lewisham,3,4,0,159,House,3164.0,48204,0.642,-33.8953,151.14668,25,1.5,167.6,6.74,Inner West,"3,250",2049,"English 22.3%,Australian 18.7%,Irish 10.9%,Scottish 7.0%,Chinese 4.2%",1400000.0,760.0,775000.0,510.0,1%,12.6,20.0,20.0,Lewisham,Morton Park,"Professionals,small families,retirees",4.0,8.0,5.0,4.0,6.0,7.0,2.0,8.0,6.0,8.0,5.8
334,8650000.0,2016-09-27,Darling Point,3,3,2,516,Apartment / Unit / Flat,4190.0,83096,0.671,-33.87237,151.2356,10,1.5,167.6,2.51,Eastern Suburbs,"4,500",2027,"English 24.1%,Australian 15.1%,Irish 9.7%,Scottish 7.4% Chinese 3.3%",5900000.0,1645.0,1850000.0,850.0,0%,10.2,25.0,12.0,Edgecliff,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3501,1105000.0,2020-11-30,Ryde,2,2,2,116,Apartment / Unit / Flat,26499.0,39312,7.096,-33.8078,151.11399,58,0.11,172.6,10.92,Northern Suburbs,"28,000",2112,"Chinese 15.5%,English 14.7%,Australian 13.4%,Italian 6.9%,Irish 5.5%",1450000.0,675.0,670000.0,490.0,4%,13.3,45.0,30.0,West Ryde,"Top Ryde Shopping Centre,Ryde Park","Professionals,university students,small families",3.0,6.0,5.0,4.0,6.0,7.0,8.0,7.0,6.0,8.0,6.0
5938,4007000.0,2021-11-13,Pymble,3,6,2,1006,House,11051.0,53300,6.568,-33.74511,151.1397,130,0.1,220.1,14.82,Upper North Shore,"11,250",2073,"English 22.8%,Australian 18.8%,Chinese 15.0%,Irish 7.8%,Scottish 6.5%",2300000.0,1110.0,930000.0,610.0,0%,14.5,35.0,25.0,Pymble,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1348,1080000.0,2018-03-28,Bexley,1,3,1,141,House,19733.0,31512,4.366,-33.95213,151.1183,50,1.5,169.8,12.84,Southern Suburbs,"20,500",2207,"Chinese 11.1%,Australian 10.9%,English 10.7%,Lebanese 9.1%,Greek 7.6%",1100000.0,610.0,640000.0,460.0,1%,11.4,35.0,30.0,Kogarah,"Bexley Park,Bexley Golf Club","Professionals,families,small families,retirees",4.0,5.0,6.0,6.0,6.0,6.0,5.0,8.0,8.0,6.0,6.0
4164,1635000.0,2021-05-18,Newport,2,3,2,149,Apartment / Unit / Flat,9301.0,46852,3.812,-33.65717,151.31571,12,0.1,197.9,25.06,Northern Beaches,"9,500",2106,"English 32.4%,Australian 24.6%,Irish 10.1%,Scottish 8.7%,German 3.1%",1800000.0,920.0,950000.0,590.0,0%,11.5,75.0,50.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6018,4650000.0,2021-11-15,Newport,1,1,0,1661,House,9301.0,46852,3.812,-33.65717,151.31571,12,0.1,220.1,25.06,Northern Beaches,"9,500",2106,"English 32.4%,Australian 24.6%,Irish 10.1%,Scottish 8.7%,German 3.1%",1800000.0,920.0,950000.0,590.0,0%,11.5,75.0,50.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1529,752000.0,2018-07-17,Girraween,2,3,1,162,Villa,5590.0,35152,2.316,-33.80002,150.94399,58,1.5,166.6,25.65,Western Suburbs,"5,750",2145,"Indian 28.6%,Australian 10.8%,English 9.3%,Sri Lankan 4.5%,Maltese 4.0%",850000.0,510.0,650000.0,460.0,5%,9.4,60.0,35.0,Pendle Hill,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6544,2050000.0,2021-11-30,Harrington Park,4,6,3,981,House,10663.0,44668,8.004,-34.02561,150.73523,74,0.1,220.1,47.35,South West,"10,750",2567,"Australian 24.9%,English 24.3%,Italian 7.1%,Irish 7.0%,Scottish 5.5%",920000.0,550.0,0.0,0.0,0%,7.8,120.0,60.0,Campbelltown,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5114,3050000.0,2021-09-30,Manly Vale,2,4,3,613,House,6160.0,48620,1.905,-33.78215,151.26601,31,0.1,220.1,10.57,Northern Beaches,"6,250",2093,"English 25.8%,Australian 19.6%,Irish 9.5%,Scottish 6.9%,Italian 3.4%",2000000.0,930.0,775000.0,570.0,3%,13.8,45.0,30.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5864,1987500.0,2021-11-12,North Rocks,3,5,2,696,House,7965.0,40092,5.462,-33.77572,151.01474,92,0.1,220.1,20.61,Hills Shire,"8,000",2151,"English 20.1%,Australian 19.4%,Chinese 14.9%,Irish 6.8%,Scottish 5.5%",1250000.0,590.0,605000.0,495.0,0%,17.1,60.0,35.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5550,1560000.0,2021-10-25,Belmore,1,3,2,696,House,12718.0,26208,2.731,-33.91942,151.08774,32,0.1,220.1,12.8,Western Suburbs,"13,000",2192,"Greek 13.4%,Lebanese 9.5%,Chinese 8.7%,Australian 8.1%,English 8.0%",1000000.0,575.0,540000.0,390.0,5%,16.1,30.0,25.0,Belmore,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5418,2100000.0,2021-10-19,Lane Cove,1,2,2,471,House,10817.0,58084,2.58,-33.81806,151.16504,57,0.1,220.1,6.67,Lower North Shore,"11,000",2066,"English 23.4%,Australian 18.3%,Irish 9.2%,Chinese 8.2%,Scottish 6.6%",2250000.0,880.0,810000.0,550.0,1%,14.0,30.0,20.0,Artarmon,Lane Cove National Park,"Families,professionals,retirees",3.0,4.0,4.0,3.0,8.0,8.0,5.0,9.0,9.0,9.0,6.2
823,1130000.0,2017-05-24,Kings Langley,2,4,4,705,House,9353.0,42900,3.667,-33.75075,150.93583,81,1.5,176.6,28.37,Western Suburbs,"9,500",2147,"Australian 23.8%,English 23.5%,Irish 8.0%,Scottish 6.0%,Italian 3.9%",940000.0,515.0,0.0,455.0,0%,15.2,60.0,40.0,Bella Vista (metro),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814,950000.0,2017-05-20,Winston Hills,2,3,1,569,House,11674.0,40352,4.739,-33.77692,150.98008,77,1.5,176.6,23.42,Western Suburbs,"11,750",2153,"Australian 23.1%,English 21.2%,Irish 8.0%,Scottish 6.0%,Chinese 5.4%",975000.0,555.0,610000.0,490.0,0%,16.3,55.0,35.0,Toongabbie,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1252,490000.0,2018-02-13,Bradbury,1,3,1,571,House,8800.0,31980,3.734,-34.08405,150.81805,126,1.5,171.9,43.6,South West,"9,000",2560,"Australian 26.3%,English 24.7%,Irish 7.9%,Scottish 6.0%,German 2.5%",555000.0,395.0,460000.0,310.0,6%,12.2,90.0,55.0,Campbelltown,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080,2900000.0,2017-10-16,Carlingford,4,6,4,930,House,24394.0,33696,8.528,-33.77523,151.0454,102,1.5,174.0,18.2,Western Suburbs,"25,000",2118,"Chinese 32.0%,English 13.2%,Australian 12.2%,Korean 5.6%,Irish 4.3%",1300000.0,610.0,700000.0,500.0,2%,16.6,55.0,30.0,Carlingford (soon to close),"Balaka Falls,bushwalks & cycling tracks","Families,small families,retirees,professionals",4.0,3.0,6.0,4.0,8.0,6.0,8.0,8.0,7.0,7.0,6.1
4087,1250000.0,2021-04-28,Monterey,1,3,1,202,Villa,4532.0,37232,1.152,-33.97235,151.14822,5,0.1,197.9,13.19,Southern Suburbs,"4,750",2217,"Greek 18.8%,English 11.8%,Australian 11.7%,Irish 4.6%,Italian 4.0%",1450000.0,690.0,700000.0,460.0,1%,13.9,40.0,25.0,Kogarah,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,1615000.0,2016-10-22,Campsie,2,4,1,560,House,24541.0,25272,3.373,-33.91457,151.10339,35,1.5,167.6,11.28,Western Suburbs,"25,000",2194,"Chinese 31.0%,Nepalese 6.9%,Lebanese 5.8%,English 5.5%,Australian 5.2%",1100000.0,590.0,570000.0,435.0,3%,14.0,25.0,25.0,Campsie,Federation Reserve,"Families,small families,professionals",2.0,7.0,6.0,6.0,3.0,5.0,6.0,6.0,6.0,5.0,5.2
4651,3067000.0,2021-07-31,Chifley,1,3,2,853,House,3233.0,36452,1.057,-33.97034,151.23962,28,0.1,210.1,11.99,Southern Suburbs,"3,500",2036,"Australian 20.6%,English 20.2%,Irish 10.4%,Chinese 5.6%,Scottish 4.9%",1700000.0,1000.0,0.0,490.0,15%,13.3,45.0,25.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
